old_product_code,historical_period,total_monthly_sales,market_region
ART-1039-CLA-L,2024-01,4775,Europe
ART-1465-NAV-XS,2024-06,3319,Europe
ART-1495-CLA-XS,2024-01,2149,Europe
ART-1015-MID-S,2025-02,2491,Asia
ART-1310-OLI-XL,2023-10,1579,North America
ART-1458-NAV-L,2023-08,1915,Europe
ART-1027-MID-XS,2023-08,1975,North America
ART-1471-OLI-S,2024-08,4820,Asia
ART-1004-NAV-S,2023-09,4292,North America
ART-1280-OLI-XS,2023-08,1196,Asia
ART-1031-OLI-S,2023-06,1811,Asia
ART-1332-CLA-L,2024-11,4887,North America
ART-1115-NAV-L,2024-06,3116,Asia
ART-1078-NAV-L,2023-11,3903,North America
ART-1294-OLI-XL,2024-11,1150,North America
ART-1310-CLA-XL,2025-01,1331,Asia
ART-1481-NAV-XS,2023-07,2897,Europe
ART-1154-MID-L,2023-09,3779,Asia
ART-1152-MID-M,2024-06,3565,Europe
ART-1349-CLA-M,2023-10,1092,Asia
ART-1220-CLA-M,2024-04,1081,North America
ART-1446-NAV-L,2023-07,1155,Europe
ART-1290-OLI-M,2024-07,3240,Asia
ART-1486-OLI-L,2023-05,2441,Europe
ART-1458-NAV-XS,2023-07,3588,Asia
ART-1245-OLI-L,2023-09,1124,Asia
ART-1156-NAV-XL,2023-06,4927,North America
ART-1418-OLI-M,2023-11,2871,Europe
ART-1449-OLI-L,2024-03,2552,Asia
ART-1158-OLI-XL,2023-07,4489,Asia
ART-1399-MID-XL,2024-03,3685,Europe
ART-1343-OLI-M,2024-02,1139,North America
ART-1332-NAV-S,2023-07,1594,North America
ART-1158-CLA-M,2023-05,4561,Asia
ART-1445-CLA-XL,2024-03,2969,Europe
ART-1473-MID-L,2024-11,1887,Europe
ART-1223-MID-XS,2024-03,2363,Asia
ART-1454-CLA-XL,2024-01,3482,Europe
ART-1185-CLA-L,2024-07,1197,Asia
ART-1349-NAV-S,2023-12,4649,Asia
ART-1021-NAV-S,2024-06,4242,Asia
ART-1494-NAV-S,2023-09,2317,North America
ART-1039-NAV-L,2024-01,4305,Europe
ART-1310-NAV-S,2024-10,1321,Europe
ART-1290-NAV-M,2023-11,1749,Europe
ART-1351-CLA-S,2024-12,1658,Europe
ART-1305-MID-XL,2023-06,3307,Europe
ART-1298-NAV-M,2023-09,2963,Asia
ART-1482-MID-XS,2024-04,3686,Asia
ART-1144-OLI-L,2024-01,2353,Europe
ART-1451-CLA-S,2024-12,4047,Europe
ART-1045-CLA-L,2023-07,1927,Asia
ART-1069-NAV-S,2023-07,3992,Asia
ART-1220-CLA-XS,2023-10,4025,Europe
ART-1098-OLI-L,2023-09,2555,North America
