production_batch_id,product_id,mfg_timestamp,quantity_produced,defect_count
BATCH-50000,ART-1017-OLI-XS,2025-12-21 10:00:51,237,0.0
BATCH-50001,ART-1397-OLI-M,2025-12-30 14:00:51,263,0.0
BATCH-50002,ART-1253-NAV-S,2025-12-22 09:00:51,276,0.0
BATCH-50003,ART-1222-OLI-L,2025-12-11 09:00:51,464,0.0
BATCH-50004,ART-1230-CLA-L,2025-12-22 23:00:51,241,2.0
BATCH-50005,ART-1476-CLA-XS,2025-12-24 10:00:51,384,0.0
BATCH-50006,ART-1017-CLA-XS,2025-12-22 14:00:51,461,0.0
BATCH-50007,ART-1321-CLA-L,2025-12-13 15:00:51,415,1.0
BATCH-50008,art-1216-oli-xs,2025-12-19 23:00:51,200,1.0
BATCH-50009,ART-1365-NAV-M,2025-12-12 04:00:51,241,0.0
BATCH-50010,ART-1478-NAV-S,2025-12-30 23:00:51,280,1.0
BATCH-50011,ART-1017-OLI-S,2025-12-28 17:00:51,285,1.0
BATCH-50012,ART-1363-MID-XL,2025-12-23 13:00:51,446,0.0
BATCH-50013,ART-1123-OLI-L,2025-12-16 07:00:51,323,1.0
BATCH-50014,ART-1151-MID-XL,2025-12-19 20:00:51,341,2.0
BATCH-50015,ART-1034-CLA-XS,2025-12-24 14:00:51,419,0.0
BATCH-50016,ART-1319-MID-XS,2025-12-12 11:00:51,455,
BATCH-50017,art-1463-nav-xl,2025-12-23 09:00:51,281,1.0
BATCH-50018,ART-1258-NAV-XS,2025-12-12 20:00:51,216,0.0
BATCH-50019,ART-1464-MID-L,2025-12-31 04:00:51,446,1.0
BATCH-50020,ART-1274-OLI-L,2025-12-11 17:00:51,366,0.0
BATCH-50021,ART-1430-MID-XL,2025-12-19 21:00:51,481,2.0
BATCH-50022,ART-1428-OLI-S,2025-12-23 14:00:51,284,
BATCH-50023,ART-1478-MID-L,2025-12-23 01:00:51,456,2.0
BATCH-50024,ART-1400-CLA-M,2025-12-15 10:00:51,318,1.0
BATCH-50025,ART-1121-MID-XL,2025-12-24 06:00:51,253,
BATCH-50026,ART-1332-MID-XL,2025-12-19 22:00:51,456,0.0
BATCH-50027,ART-1195-MID-XL,2025-12-12 09:00:51,209,0.0
BATCH-50028,ART-1365-CLA-L,2025-12-22 11:00:51,367,
BATCH-50029,ART-1172-OLI-XS,2025-12-11 11:00:51,427,2.0
BATCH-50030,ART-1487-CLA-M,2025-12-14 04:00:51,435,0.0
BATCH-50031,ART-1442-OLI-XS,2025-12-28 14:00:51,231,0.0
BATCH-50032,ART-1034-MID-XL,2025-12-26 12:00:51,477,0.0
BATCH-50033,ART-1323-NAV-L,2025-12-27 14:00:51,425,1.0
BATCH-50034,ART-1125-NAV-XL,2025-12-21 15:00:51,494,1.0
BATCH-50035,ART-1471-MID-XL,2025-12-13 21:00:51,308,0.0
BATCH-50036,ART-1331-MID-S,2025-12-29 09:00:51,303,2.0
BATCH-50037,ART-1485-MID-S,2025-12-14 16:00:51,344,2.0
BATCH-50038,ART-1202-MID-XS,2025-12-11 03:00:51,230,0.0
BATCH-50039,ART-1025-MID-S,2025-12-13 11:00:51,204,2.0
BATCH-50040,ART-1048-MID-XS,2025-12-26 20:00:51,360,1.0
BATCH-50041,ART-1321-CLA-XS,2025-12-14 23:00:51,378,0.0
BATCH-50042,ART-1045-MID-M,2025-12-12 04:00:51,486,1.0
BATCH-50043,ART-1243-OLI-L,2025-12-28 10:00:51,413,0.0
BATCH-50044,art-1087-oli-xs,2025-12-30 05:00:51,445,1.0
BATCH-50045,ART-1366-OLI-XS,2025-12-22 05:00:51,332,0.0
BATCH-50046,ART-1424-NAV-XS,2025-12-10 20:00:51,332,2.0
BATCH-50047,ART-1119-CLA-XS,2025-12-15 15:00:51,339,1.0
BATCH-50048,ART-1345-MID-M,2025-12-10 17:00:51,432,
BATCH-50049,ART-1491-NAV-L,2025-12-29 10:00:51,309,1.0
BATCH-50050,ART-1143-CLA-M,2025-12-19 23:00:51,383,0.0
BATCH-50051,ART-1306-NAV-L,2025-12-16 05:00:51,438,
BATCH-50052,ART-1363-MID-M,2025-12-29 10:00:51,430,0.0
BATCH-50053,ART-1032-NAV-XL,2025-12-28 00:00:51,331,0.0
BATCH-50054,ART-1498-MID-L,2025-12-23 12:00:51,393,0.0
BATCH-50055,ART-1163-OLI-M,2025-12-21 10:00:51,288,0.0
BATCH-50056,ART-1091-CLA-S,2025-12-23 22:00:51,269,
BATCH-50057,ART-1139-OLI-L,2025-12-21 04:00:51,351,0.0
BATCH-50058,ART-1483-MID-M,2025-12-17 10:00:51,323,1.0
BATCH-50059,ART-1400-CLA-XS,2025-12-21 05:00:51,440,0.0
BATCH-50060,ART-1254-NAV-L,2025-12-18 23:00:51,410,
BATCH-50061,ART-1136-CLA-XL,2025-12-12 08:00:51,444,0.0
BATCH-50062,ART-1271-CLA-M,2025-12-20 14:00:51,312,
BATCH-50063,ART-1484-CLA-S,2025-12-16 04:00:51,310,0.0
BATCH-50064,ART-1080-NAV-L,2025-12-24 00:00:51,265,0.0
BATCH-50065,ART-1500-CLA-XS,2025-12-28 17:00:51,205,
BATCH-50066,ART-1113-NAV-M,2025-12-19 15:00:51,456,
BATCH-50067,ART-1473-MID-L,2025-12-26 07:00:51,349,1.0
BATCH-50068,ART-1493-MID-M,2025-12-17 04:00:51,277,0.0
BATCH-50069,ART-1110-MID-S,2025-12-26 07:00:51,352,1.0
BATCH-50070,ART-1385-OLI-S,2025-12-10 23:00:51,293,0.0
BATCH-50071,ART-1005-NAV-M,2025-12-26 15:00:51,415,2.0
BATCH-50072,art-1326-mid-l,2025-12-22 08:00:51,265,0.0
BATCH-50073,ART-1027-NAV-XS,2025-12-15 06:00:51,219,0.0
BATCH-50074,ART-1285-MID-XL,2025-12-18 12:00:51,396,
BATCH-50075,ART-1050-OLI-M,2025-12-22 03:00:51,241,1.0
BATCH-50076,ART-1425-NAV-XL,2025-12-15 12:00:51,365,2.0
BATCH-50077,ART-1250-NAV-XS,2025-12-30 17:00:51,340,0.0
BATCH-50078,ART-1376-NAV-XS,2025-12-12 17:00:51,390,2.0
BATCH-50079,ART-1424-MID-XS,2025-12-22 02:00:51,322,0.0
BATCH-50080,ART-1265-OLI-M,2025-12-22 09:00:51,266,2.0
BATCH-50081,ART-1119-NAV-M,2025-12-28 03:00:51,222,0.0
BATCH-50082,ART-1183-NAV-XL,2025-12-31 08:00:51,241,
BATCH-50083,ART-1222-OLI-M,2025-12-13 00:00:51,374,2.0
BATCH-50084,ART-1061-NAV-XS,2025-12-21 10:00:51,258,
BATCH-50085,ART-1046-MID-M,2025-12-14 07:00:51,230,0.0
BATCH-50086,ART-1418-NAV-XL,2025-12-24 22:00:51,360,0.0
BATCH-50087,ART-1366-MID-S,2025-12-21 00:00:51,444,1.0
BATCH-50088,ART-1185-OLI-XS,2025-12-17 03:00:51,448,1.0
BATCH-50089,ART-1386-NAV-XS,2025-12-27 01:00:51,399,0.0
BATCH-50090,ART-1417-CLA-XL,2025-12-21 22:00:51,234,2.0
BATCH-50091,ART-1078-OLI-M,2025-12-22 20:00:51,245,2.0
BATCH-50092,ART-1016-OLI-XS,2025-12-28 07:00:51,202,0.0
BATCH-50093,ART-1480-CLA-XL,2025-12-25 00:00:51,448,
BATCH-50094,ART-1143-NAV-M,2025-12-13 22:00:51,442,
BATCH-50095,ART-1056-MID-XS,2025-12-22 02:00:51,307,2.0
BATCH-50096,art-1332-oli-l,2025-12-20 18:00:51,365,
BATCH-50097,ART-1287-MID-L,2025-12-18 06:00:51,442,0.0
BATCH-50098,ART-1351-CLA-S,2025-12-13 10:00:51,354,1.0
BATCH-50099,ART-1261-NAV-XS,2025-12-23 17:00:51,200,0.0
BATCH-50100,ART-1040-CLA-M,2025-12-11 12:00:51,429,
BATCH-50101,ART-1260-OLI-L,2025-12-31 07:00:51,395,0.0
BATCH-50102,ART-1068-CLA-S,2025-12-22 12:00:51,225,
BATCH-50103,ART-1288-NAV-L,2025-12-27 18:00:51,386,1.0
BATCH-50104,ART-1470-OLI-L,2025-12-21 20:00:51,449,0.0
BATCH-50105,ART-1191-CLA-M,2025-12-22 21:00:51,335,
BATCH-50106,ART-1263-OLI-XS,2025-12-10 17:00:51,403,
BATCH-50107,ART-1082-OLI-XL,2025-12-17 18:00:51,307,0.0
BATCH-50108,ART-1194-MID-L,2025-12-18 19:00:51,359,0.0
BATCH-50109,ART-1021-MID-M,2025-12-25 02:00:51,352,
BATCH-50110,ART-1083-MID-XL,2025-12-15 21:00:51,364,2.0
BATCH-50111,ART-1280-OLI-M,2025-12-14 01:00:51,344,2.0
BATCH-50112,ART-1222-NAV-XL,2025-12-14 22:00:51,344,0.0
BATCH-50113,ART-1458-NAV-L,2025-12-28 07:00:51,443,
BATCH-50114,ART-1462-OLI-L,2025-12-14 21:00:51,245,2.0
BATCH-50115,ART-1257-OLI-XS,2025-12-14 09:00:51,216,2.0
BATCH-50116,ART-1036-MID-L,2025-12-25 10:00:51,416,0.0
BATCH-50117,ART-1410-MID-XS,2025-12-11 21:00:51,427,1.0
BATCH-50118,ART-1046-MID-XL,2025-12-26 20:00:51,468,
BATCH-50119,ART-1252-MID-M,2025-12-13 02:00:51,287,2.0
BATCH-50120,ART-1486-MID-L,2025-12-20 17:00:51,386,
BATCH-50121,ART-1144-NAV-S,2025-12-23 05:00:51,318,0.0
BATCH-50122,ART-1479-MID-XS,2025-12-26 21:00:51,320,0.0
BATCH-50123,ART-1077-OLI-S,2025-12-26 06:00:51,381,2.0
BATCH-50124,ART-1356-CLA-XL,2025-12-20 03:00:51,466,0.0
BATCH-50125,ART-1397-NAV-S,2025-12-11 10:00:51,362,1.0
BATCH-50126,ART-1009-CLA-M,2025-12-28 01:00:51,443,2.0
BATCH-50127,ART-1336-CLA-XL,2025-12-13 18:00:51,496,2.0
BATCH-50128,ART-1080-CLA-XS,2025-12-27 01:00:51,373,1.0
BATCH-50129,ART-1232-OLI-XS,2025-12-22 19:00:51,200,2.0
BATCH-50130,ART-1408-NAV-M,2025-12-29 07:00:51,340,
BATCH-50131,ART-1196-OLI-XL,2025-12-17 08:00:51,404,0.0
BATCH-50132,ART-1486-MID-S,2025-12-15 06:00:51,366,2.0
BATCH-50133,ART-1168-NAV-S,2025-12-19 21:00:51,388,0.0
BATCH-50134,ART-1070-NAV-XS,2025-12-30 22:00:51,348,1.0
BATCH-50135,ART-1481-NAV-XS,2025-12-24 11:00:51,488,0.0
BATCH-50136,ART-1047-NAV-M,2025-12-25 06:00:51,270,
BATCH-50137,ART-1454-CLA-XL,2025-12-24 17:00:51,390,0.0
BATCH-50138,ART-1214-CLA-XS,2025-12-20 03:00:51,376,1.0
BATCH-50139,ART-1488-NAV-S,2025-12-30 10:00:51,375,
BATCH-50140,art-1246-nav-l,2025-12-14 19:00:51,365,0.0
BATCH-50141,ART-1103-NAV-XS,2025-12-24 11:00:51,431,
BATCH-50142,ART-1064-OLI-XL,2025-12-26 14:00:51,330,1.0
BATCH-50143,ART-1089-OLI-XL,2025-12-30 22:00:51,247,0.0
BATCH-50144,ART-1035-CLA-S,2025-12-21 16:00:51,260,2.0
BATCH-50145,ART-1188-OLI-M,2025-12-22 22:00:51,322,0.0
BATCH-50146,ART-1468-NAV-M,2025-12-24 00:00:51,472,1.0
