receipt_id,product_id,sale_timestamp,units_sold,store_id
7611212E,ART-1439-CLA-XS,2026-01-19T02:57:52.131230,1,LDN-OXFORD
51497C70,ART-1064-NAV-XS,2026-01-13T13:14:52.131479,4,LDN-OXFORD
C20237C3,ART-1138-OLI-M,2026-01-30T04:48:52.131548,4,LDN-OXFORD
C3C9AF19,ART-1060-MID-XL,2026-01-10T06:21:52.131582,4,PAR-CHAMPS
BEA5C59D,ART-1381-MID-S,2026-02-01T00:24:52.131610,3,NYC-MAIN
E86D8DE1,ART-1468-OLI-M,2026-01-10T09:52:52.131635,3,NYC-MAIN
4CBA9CD8,ART-1426-CLA-XL,2026-01-30T11:19:52.131661,4,PAR-CHAMPS
A8D7FAB2,ART-1370-NAV-S,2026-01-21T07:26:52.131685,2,PAR-CHAMPS
C2756CE8,ART-1100-CLA-XS,2026-02-04T23:25:52.131712,1,NYC-MAIN
B7CAD787,ART-1227-CLA-L,2026-01-23T03:20:52.131736,2,PAR-CHAMPS
2F372E7B,ART-1171-MID-XS,2026-02-05T17:22:52.131759,3,LDN-OXFORD
C17F073E,,2026-02-02T18:33:52.131782,1,LDN-OXFORD
58D9DF7E,ART-1189-CLA-L,2026-01-24T10:55:52.131807,2,PAR-CHAMPS
7325EFE2,ART-1156-OLI-S,2026-01-20T12:35:52.131832,3,LDN-OXFORD
5CA969E1,ART-1295-CLA-S,2026-01-13T21:55:52.131857,2,NYC-MAIN
2597F69D,ART-1151-MID-XL,2026-02-08T05:01:52.131881,3,LDN-OXFORD
4280BBC7,ART-1384-CLA-S,2026-02-03T01:19:52.131905,1,LDN-OXFORD
FF10FFED,ART-1006-CLA-M,2026-02-01T23:05:52.131930,4,PAR-CHAMPS
FA914502,ART-1408-NAV-S,2026-01-11T05:01:52.131955,3,PAR-CHAMPS
672CC627,ART-1369-MID-M,2026-01-31T13:57:52.131979,1,NYC-MAIN
FC4FD111,ART-1373-MID-M,2026-02-06T00:53:52.132004,1,NYC-MAIN
FD1CDFEB,ART-1167-CLA-S,2026-01-15T01:18:52.132028,2,LDN-OXFORD
E88BE5C8,ART-1139-OLI-L,2026-01-31T07:17:52.132052,1,NYC-MAIN
BA7CB4BA,ART-1417-OLI-S,2026-01-16T01:46:52.132076,1,LDN-OXFORD
4A5A3D27,ART-1147-NAV-S,2026-01-28T09:01:52.132100,4,PAR-CHAMPS
61791187,ART-1178-NAV-XS,2026-01-11T02:32:52.132125,-1,LDN-OXFORD
4E18C451,,2026-01-13T19:23:52.132149,4,NYC-MAIN
ACA965AE,ART-1216-NAV-S,2026-01-13T01:13:52.132174,1,LDN-OXFORD
34E94654,ART-1428-CLA-L,2026-01-09T19:13:52.132199,3,NYC-MAIN
C4018E41,ART-1023-CLA-L,2026-01-12T22:04:52.132224,4,PAR-CHAMPS
192414D4,ART-1149-CLA-XS,2026-01-11T01:50:52.132248,2,LDN-OXFORD
5493F62A,ART-1096-CLA-L,2026-01-15T00:53:52.132272,2,PAR-CHAMPS
FC4D513B,ART-1004-MID-L,2026-02-07T21:37:52.132297,1,LDN-OXFORD
DEB0691F,ART-1149-OLI-M,2026-01-13T14:52:52.132321,3,PAR-CHAMPS
CA7017B1,ART-1386-CLA-XS,2026-01-23T18:23:52.132346,2,PAR-CHAMPS
658B2B1B,ART-1458-NAV-XS,2026-02-03T09:53:52.132369,1,PAR-CHAMPS
97706387,ART-1055-NAV-S,2026-02-07T13:17:52.132394,2,PAR-CHAMPS
B1A56C88,ART-1153-MID-XS,2026-01-20T08:15:52.132420,1,PAR-CHAMPS
F0DC4974,ART-1012-NAV-XL,2026-01-19T22:41:52.132446,1,NYC-MAIN
61F66EE7,ART-1295-OLI-XS,2026-01-29T00:01:52.132469,1,LDN-OXFORD
5005B993,ART-1033-MID-L,2026-02-07T08:53:52.132493,4,PAR-CHAMPS
927E3DAC,ART-1194-MID-XL,2026-01-31T04:05:52.132520,3,PAR-CHAMPS
1A98D017,ART-1333-CLA-XS,2026-02-01T21:19:52.132547,2,NYC-MAIN
B9ADDA5D,ART-1058-NAV-S,2026-01-22T18:21:52.135423,3,LDN-OXFORD
A1E7A7C4,ART-1357-MID-XL,2026-01-27T00:48:52.135486,3,PAR-CHAMPS
3767745F,ART-1265-MID-XS,2026-01-20T17:42:52.135523,2,PAR-CHAMPS
1176BD24,ART-1109-CLA-XS,2026-02-06T19:41:52.135553,4,PAR-CHAMPS
91C30FEE,ART-1277-MID-L,2026-01-09T23:09:52.136739,2,NYC-MAIN
A9D101A2,ART-1256-OLI-S,2026-01-09T18:17:52.136795,4,PAR-CHAMPS
9BBF6187,ART-1149-CLA-S,2026-01-18T16:37:52.136828,2,NYC-MAIN
4B7DCF3A,ART-1226-CLA-S,2026-02-06T02:27:52.136859,2,PAR-CHAMPS
41AED4C5,ART-1019-CLA-L,2026-02-05T00:16:52.136888,1,LDN-OXFORD
CD21E95B,ART-1365-CLA-S,2026-01-31T00:51:52.136915,2,PAR-CHAMPS
38145C54,ART-1214-OLI-M,2026-01-14T15:03:52.136942,4,PAR-CHAMPS
F8F7F555,ART-1357-CLA-S,2026-01-26T20:14:52.136971,1,NYC-MAIN
BA507D0F,ART-1210-MID-M,2026-01-15T11:00:52.136993,2,NYC-MAIN
2CAC7574,ART-1300-OLI-XS,2026-01-20T13:56:52.137016,3,LDN-OXFORD
CAFA8064,ART-1143-MID-L,2026-01-21T03:12:52.137038,3,PAR-CHAMPS
CC4D9F87,ART-1302-MID-XS,2026-02-07T21:00:52.137064,3,PAR-CHAMPS
36A19411,ART-1472-MID-S,2026-01-29T18:38:52.137087,2,NYC-MAIN
D5404851,ART-1422-MID-XL,2026-02-07T21:15:52.137108,3,LDN-OXFORD
190A8C58,ART-1252-OLI-XS,2026-01-11T20:36:52.137142,3,LDN-OXFORD
90495751,ART-1338-NAV-M,2026-01-27T22:41:52.137167,4,NYC-MAIN
AF40A377,ART-1112-CLA-M,2026-01-21T03:23:52.137191,1,LDN-OXFORD
E1D57DEF,ART-1145-CLA-XL,2026-01-12T21:04:52.137213,2,PAR-CHAMPS
817FFA63,ART-1048-MID-S,2026-01-10T09:45:52.137236,3,PAR-CHAMPS
1EF19B20,ART-1452-OLI-S,2026-02-07T08:58:52.137257,4,LDN-OXFORD
F56A4A1A,ART-1050-MID-S,2026-02-01T08:49:52.137280,1,PAR-CHAMPS
5D6CE9D1,ART-1178-OLI-M,2026-01-16T23:30:52.137305,2,NYC-MAIN
ED8E262C,ART-1326-OLI-L,2026-01-18T20:49:52.137327,1,LDN-OXFORD
5EC7C1EB,ART-1339-OLI-M,2026-01-31T01:10:52.137349,3,LDN-OXFORD
C457F49C,ART-1366-CLA-S,2026-01-31T00:46:52.137369,-1,LDN-OXFORD
22838CB1,ART-1039-MID-XL,2026-01-23T12:16:52.137388,2,PAR-CHAMPS
444F7E57,ART-1439-MID-M,2026-01-21T03:56:52.137411,1,NYC-MAIN
F5C1F84D,ART-1325-CLA-L,2026-01-27T05:49:52.137436,3,NYC-MAIN
AC695370,ART-1085-NAV-L,2026-02-02T02:35:52.137457,1,LDN-OXFORD
ACE43DB6,ART-1131-MID-XS,2026-02-08T06:30:52.137478,1,NYC-MAIN
90580F18,ART-1098-MID-L,2026-02-04T08:58:52.137504,2,NYC-MAIN
E64C8C0D,ART-1265-MID-XS,2026-02-03T15:11:52.137528,1,LDN-OXFORD
B99B923B,ART-1139-MID-XL,2026-02-07T20:29:52.137552,4,NYC-MAIN
E5A61F73,ART-1161-NAV-S,2026-02-08T14:30:52.137577,3,PAR-CHAMPS
05817AAF,ART-1260-NAV-M,2026-01-11T12:25:52.137599,3,LDN-OXFORD
C602226F,ART-1171-OLI-M,2026-01-18T10:11:52.137625,4,LDN-OXFORD
69FB97F0,ART-1252-CLA-S,2026-01-16T17:26:52.137650,1,LDN-OXFORD
3359B4D6,ART-1223-MID-L,2026-01-20T17:59:52.137675,4,PAR-CHAMPS
03BF0266,ART-1467-NAV-XS,2026-01-23T13:28:52.137698,4,PAR-CHAMPS
A209001B,ART-1360-CLA-S,2026-01-15T07:51:52.137724,1,LDN-OXFORD
55C9DB4F,ART-1296-OLI-XS,2026-01-10T18:35:52.137748,3,NYC-MAIN
E62203ED,ART-1147-MID-M,2026-01-14T05:24:52.137773,4,PAR-CHAMPS
B05D13F7,ART-1165-NAV-S,2026-02-03T11:35:52.137799,4,LDN-OXFORD
DE81AE8A,ART-1303-OLI-L,2026-02-04T07:59:52.137822,4,LDN-OXFORD
