product_id,article_id,product_name,color,size,reorder_threshold,max_capacity,unit_cost
ART-1001-MID-XS,ART-1001,Slim Fit Denim,Midnight Black,XS,118,1000,38.02
ART-1001-MID-S,ART-1001,Slim Fit Denim,Midnight Black,S,132,1000,23.02
ART-1001-MID-M,ART-1001,Slim Fit Denim,Midnight Black,M,158,1000,39.34
ART-1001-MID-L,ART-1001,Slim Fit Denim,Midnight Black,L,200,1000,34.12
ART-1001-MID-XL,ART-1001,Slim Fit Denim,Midnight Black,XL,117,1000,23.73
ART-1001-CLA-XS,ART-1001,Slim Fit Denim,Classic White,XS,160,1000,35.74
ART-1001-CLA-S,ART-1001,Slim Fit Denim,Classic White,S,101,1000,44.85
ART-1001-CLA-M,ART-1001,Slim Fit Denim,Classic White,M,160,1000,23.38
ART-1001-CLA-L,ART-1001,Slim Fit Denim,Classic White,L,196,1000,41.57
ART-1001-CLA-XL,ART-1001,Slim Fit Denim,Classic White,XL,125,1000,28.89
ART-1001-NAV-XS,ART-1001,Slim Fit Denim,Navy Blue,XS,135,1000,15.77
ART-1001-NAV-S,ART-1001,Slim Fit Denim,Navy Blue,S,122,1000,32.32
ART-1001-NAV-M,ART-1001,Slim Fit Denim,Navy Blue,M,169,1000,32.67
ART-1001-NAV-L,ART-1001,Slim Fit Denim,Navy Blue,L,109,1000,30.98
ART-1001-NAV-XL,ART-1001,Slim Fit Denim,Navy Blue,XL,190,1000,34.32
ART-1001-OLI-XS,ART-1001,Slim Fit Denim,Olive Green,XS,182,1000,19.37
ART-1001-OLI-S,ART-1001,Slim Fit Denim,Olive Green,S,175,1000,23.08
ART-1001-OLI-M,ART-1001,Slim Fit Denim,Olive Green,M,101,1000,39.37
ART-1001-OLI-L,ART-1001,Slim Fit Denim,Olive Green,L,151,1000,31.73
ART-1001-OLI-XL,ART-1001,Slim Fit Denim,Olive Green,XL,169,1000,43.36
ART-1002-MID-XS,ART-1002,Slim Fit Denim,Midnight Black,XS,200,1000,25.65
ART-1002-MID-S,ART-1002,Slim Fit Denim,Midnight Black,S,136,1000,43.01
ART-1002-MID-M,ART-1002,Slim Fit Denim,Midnight Black,M,141,1000,22.72
ART-1002-MID-L,ART-1002,Slim Fit Denim,Midnight Black,L,188,1000,32.56
ART-1002-MID-XL,ART-1002,Slim Fit Denim,Midnight Black,XL,144,1000,32.45
ART-1002-CLA-XS,ART-1002,Slim Fit Denim,Classic White,XS,197,1000,15.85
ART-1002-CLA-S,ART-1002,Slim Fit Denim,Classic White,S,133,1000,17.66
ART-1002-CLA-M,ART-1002,Slim Fit Denim,Classic White,M,140,1000,33.85
ART-1002-CLA-L,ART-1002,Slim Fit Denim,Classic White,L,110,1000,33.2
ART-1002-CLA-XL,ART-1002,Slim Fit Denim,Classic White,XL,197,1000,19.65
ART-1002-NAV-XS,ART-1002,Slim Fit Denim,Navy Blue,XS,159,1000,42.07
ART-1002-NAV-S,ART-1002,Slim Fit Denim,Navy Blue,S,155,1000,34.49
ART-1002-NAV-M,ART-1002,Slim Fit Denim,Navy Blue,M,113,1000,30.66
ART-1002-NAV-L,ART-1002,Slim Fit Denim,Navy Blue,L,140,1000,28.05
ART-1002-NAV-XL,ART-1002,Slim Fit Denim,Navy Blue,XL,104,1000,38.0
ART-1002-OLI-XS,ART-1002,Slim Fit Denim,Olive Green,XS,110,1000,17.56
ART-1002-OLI-S,ART-1002,Slim Fit Denim,Olive Green,S,195,1000,41.78
ART-1002-OLI-M,ART-1002,Slim Fit Denim,Olive Green,M,105,1000,18.23
ART-1002-OLI-L,ART-1002,Slim Fit Denim,Olive Green,L,164,1000,24.6
ART-1002-OLI-XL,ART-1002,Slim Fit Denim,Olive Green,XL,151,1000,44.61
ART-1003-MID-XS,ART-1003,Slim Fit Denim,Midnight Black,XS,180,1000,43.47
ART-1003-MID-S,ART-1003,Slim Fit Denim,Midnight Black,S,130,1000,25.32
ART-1003-MID-M,ART-1003,Slim Fit Denim,Midnight Black,M,185,1000,44.44
ART-1003-MID-L,ART-1003,Slim Fit Denim,Midnight Black,L,185,1000,31.5
ART-1003-MID-XL,ART-1003,Slim Fit Denim,Midnight Black,XL,196,1000,23.43
ART-1003-CLA-XS,ART-1003,Slim Fit Denim,Classic White,XS,126,1000,34.26
ART-1003-CLA-S,ART-1003,Slim Fit Denim,Classic White,S,192,1000,35.76
ART-1003-CLA-M,ART-1003,Slim Fit Denim,Classic White,M,185,1000,34.45
ART-1003-CLA-L,ART-1003,Slim Fit Denim,Classic White,L,150,1000,21.23
ART-1003-CLA-XL,ART-1003,Slim Fit Denim,Classic White,XL,125,1000,29.33
ART-1003-NAV-XS,ART-1003,Slim Fit Denim,Navy Blue,XS,137,1000,40.89
ART-1003-NAV-S,ART-1003,Slim Fit Denim,Navy Blue,S,169,1000,16.5
ART-1003-NAV-M,ART-1003,Slim Fit Denim,Navy Blue,M,104,1000,39.33
ART-1003-NAV-L,ART-1003,Slim Fit Denim,Navy Blue,L,113,1000,31.03
ART-1003-NAV-XL,ART-1003,Slim Fit Denim,Navy Blue,XL,103,1000,27.56
ART-1003-OLI-XS,ART-1003,Slim Fit Denim,Olive Green,XS,167,1000,21.2
ART-1003-OLI-S,ART-1003,Slim Fit Denim,Olive Green,S,114,1000,30.94
ART-1003-OLI-M,ART-1003,Slim Fit Denim,Olive Green,M,198,1000,31.06
ART-1003-OLI-L,ART-1003,Slim Fit Denim,Olive Green,L,131,1000,38.1
ART-1003-OLI-XL,ART-1003,Slim Fit Denim,Olive Green,XL,162,1000,27.63
ART-1004-MID-XS,ART-1004,Cargo Pants,Midnight Black,XS,190,1000,41.19
ART-1004-MID-S,ART-1004,Cargo Pants,Midnight Black,S,115,1000,36.4
ART-1004-MID-M,ART-1004,Cargo Pants,Midnight Black,M,146,1000,17.84
ART-1004-MID-L,ART-1004,Cargo Pants,Midnight Black,L,112,1000,43.09
ART-1004-MID-XL,ART-1004,Cargo Pants,Midnight Black,XL,132,1000,33.18
ART-1004-CLA-XS,ART-1004,Cargo Pants,Classic White,XS,155,1000,37.56
ART-1004-CLA-S,ART-1004,Cargo Pants,Classic White,S,167,1000,38.48
ART-1004-CLA-M,ART-1004,Cargo Pants,Classic White,M,180,1000,42.91
ART-1004-CLA-L,ART-1004,Cargo Pants,Classic White,L,154,1000,16.93
ART-1004-CLA-XL,ART-1004,Cargo Pants,Classic White,XL,171,1000,15.16
ART-1004-NAV-XS,ART-1004,Cargo Pants,Navy Blue,XS,160,1000,42.29
ART-1004-NAV-S,ART-1004,Cargo Pants,Navy Blue,S,168,1000,42.51
ART-1004-NAV-M,ART-1004,Cargo Pants,Navy Blue,M,168,1000,43.56
ART-1004-NAV-L,ART-1004,Cargo Pants,Navy Blue,L,165,1000,20.85
ART-1004-NAV-XL,ART-1004,Cargo Pants,Navy Blue,XL,188,1000,44.83
ART-1004-OLI-XS,ART-1004,Cargo Pants,Olive Green,XS,159,1000,29.78
ART-1004-OLI-S,ART-1004,Cargo Pants,Olive Green,S,185,1000,26.66
ART-1004-OLI-M,ART-1004,Cargo Pants,Olive Green,M,109,1000,17.11
ART-1004-OLI-L,ART-1004,Cargo Pants,Olive Green,L,146,1000,17.21
ART-1004-OLI-XL,ART-1004,Cargo Pants,Olive Green,XL,128,1000,13.96
ART-1005-MID-XS,ART-1005,Summer Dress,Midnight Black,XS,101,1000,38.5
ART-1005-MID-S,ART-1005,Summer Dress,Midnight Black,S,160,1000,28.71
ART-1005-MID-M,ART-1005,Summer Dress,Midnight Black,M,160,1000,16.15
ART-1005-MID-L,ART-1005,Summer Dress,Midnight Black,L,110,1000,23.41
ART-1005-MID-XL,ART-1005,Summer Dress,Midnight Black,XL,138,1000,36.16
ART-1005-CLA-XS,ART-1005,Summer Dress,Classic White,XS,128,1000,17.44
ART-1005-CLA-S,ART-1005,Summer Dress,Classic White,S,158,1000,37.34
ART-1005-CLA-M,ART-1005,Summer Dress,Classic White,M,153,1000,13.14
ART-1005-CLA-L,ART-1005,Summer Dress,Classic White,L,131,1000,36.03
ART-1005-CLA-XL,ART-1005,Summer Dress,Classic White,XL,117,1000,32.42
ART-1005-NAV-XS,ART-1005,Summer Dress,Navy Blue,XS,112,1000,13.11
ART-1005-NAV-S,ART-1005,Summer Dress,Navy Blue,S,119,1000,32.96
ART-1005-NAV-M,ART-1005,Summer Dress,Navy Blue,M,186,1000,19.4
ART-1005-NAV-L,ART-1005,Summer Dress,Navy Blue,L,127,1000,29.56
ART-1005-NAV-XL,ART-1005,Summer Dress,Navy Blue,XL,161,1000,41.07
ART-1005-OLI-XS,ART-1005,Summer Dress,Olive Green,XS,153,1000,32.92
ART-1005-OLI-S,ART-1005,Summer Dress,Olive Green,S,147,1000,33.06
ART-1005-OLI-M,ART-1005,Summer Dress,Olive Green,M,165,1000,38.64
ART-1005-OLI-L,ART-1005,Summer Dress,Olive Green,L,166,1000,19.68
ART-1005-OLI-XL,ART-1005,Summer Dress,Olive Green,XL,185,1000,24.26
ART-1006-MID-XS,ART-1006,Summer Dress,Midnight Black,XS,200,1000,27.18
ART-1006-MID-S,ART-1006,Summer Dress,Midnight Black,S,125,1000,43.47
ART-1006-MID-M,ART-1006,Summer Dress,Midnight Black,M,116,1000,38.09
ART-1006-MID-L,ART-1006,Summer Dress,Midnight Black,L,134,1000,17.3
ART-1006-MID-XL,ART-1006,Summer Dress,Midnight Black,XL,115,1000,17.35
ART-1006-CLA-XS,ART-1006,Summer Dress,Classic White,XS,184,1000,29.31
ART-1006-CLA-S,ART-1006,Summer Dress,Classic White,S,129,1000,40.85
ART-1006-CLA-M,ART-1006,Summer Dress,Classic White,M,125,1000,34.06
ART-1006-CLA-L,ART-1006,Summer Dress,Classic White,L,119,1000,14.58
ART-1006-CLA-XL,ART-1006,Summer Dress,Classic White,XL,151,1000,32.24
ART-1006-NAV-XS,ART-1006,Summer Dress,Navy Blue,XS,176,1000,13.96
ART-1006-NAV-S,ART-1006,Summer Dress,Navy Blue,S,154,1000,39.28
ART-1006-NAV-M,ART-1006,Summer Dress,Navy Blue,M,133,1000,38.89
ART-1006-NAV-L,ART-1006,Summer Dress,Navy Blue,L,149,1000,27.33
ART-1006-NAV-XL,ART-1006,Summer Dress,Navy Blue,XL,152,1000,12.08
ART-1006-OLI-XS,ART-1006,Summer Dress,Olive Green,XS,195,1000,15.84
ART-1006-OLI-S,ART-1006,Summer Dress,Olive Green,S,190,1000,20.28
